start,low,high,open,close,volume,fibonacciretracement_signal,FlowMinMax,ew_0,ew_1,ew_2,ew_3,ew_4,ew_5,ew_a,ew_b,ew_c,signal
2025-06-13 07:00:00,2.9917,3.019,3.0185,2.9978,255709.6,0,-1,,,,,,,,,,0
2025-06-13 07:15:00,2.9954,3.0217,2.9976,3.0197,374348.3,0,0,,,,,,,,,,0
2025-06-13 07:30:00,3.0165,3.0286,3.0194,3.0238,182488.4,0,0,,,,,,,,,,0
2025-06-13 07:45:00,3.0188,3.0347,3.0236,3.0286,65898.3,0,0,,,,,,,,,,0
2025-06-13 08:00:00,3.0232,3.0683,3.028,3.0632,188630.7,1,1,,,,,,,,,,1
2025-06-13 08:15:00,3.046,3.064,3.064,3.056,231448.7,0,0,,,,,,,,,,0
2025-06-13 08:30:00,3.0321,3.063,3.0559,3.0344,65160.3,0,0,,,,,,,,,,0
2025-06-13 08:45:00,3.0224,3.0361,3.0342,3.0259,133447.0,0,0,,,,,,,,,,0
2025-06-13 09:00:00,3.0102,3.0286,3.026,3.0188,251425.9,0,-1,,,,,,,,,,0
2025-06-13 09:15:00,3.0035,3.0232,3.0186,3.0192,149060.2,0,1,,,,,,,,,,0
2025-06-13 09:30:00,3.0065,3.0226,3.0192,3.0108,63174.9,0,-1,,,,,,,,,,0
2025-06-13 09:45:00,3.0056,3.0259,3.011,3.0168,108455.0,0,1,,,,,,,,,,0
2025-06-13 10:00:00,2.993,3.0198,3.017,3.0113,155905.9,0,0,,,,,,,,,,0
2025-06-13 10:15:00,3.0035,3.0146,3.0113,3.0046,103613.0,0,-1,,,,,,,,,,0
2025-06-13 10:30:00,2.9946,3.0184,3.0045,3.0134,239621.7,0,0,,,,,,,,,,0
2025-06-13 10:45:00,2.9984,3.0255,3.0131,3.023,139624.3,0,0,,,,,,,,,,0
2025-06-13 11:00:00,3.0144,3.0376,3.0236,3.023,105728.6,0,0,,,,,,,,,,0
2025-06-13 11:15:00,2.9971,3.028,3.0226,3.0016,84001.9,0,-1,,,,,,,,,,0
2025-06-13 11:30:00,2.9976,3.0142,2.9999,3.014,92140.3,0,0,,,,,,,,,,0
2025-06-13 11:45:00,3.0118,3.0274,3.0142,3.0243,154593.2,0,0,,,,,,,,,,0
2025-06-13 12:00:00,3.0076,3.041,3.0242,3.0359,483445.5,0,1,,,,,,,,,,0
2025-06-13 12:15:00,3.0218,3.0446,3.0364,3.0258,185317.3,0,0,,,,,,,,,,0
2025-06-13 12:30:00,3.007,3.0384,3.026,3.0074,98758.0,0,0,,,,,,,,,,0
2025-06-13 12:45:00,2.9996,3.0142,3.0076,3.0029,193077.5,0,0,,,,,,,,,,0
2025-06-13 13:00:00,2.9903,3.0036,3.003,2.9961,105960.4,0,0,,,,,,,,,,0
2025-06-13 13:15:00,2.988,3.0033,2.9956,2.9961,323093.1,0,0,,,,,,,,,,0
2025-06-13 13:30:00,2.9925,3.0301,2.9953,3.025,173330.0,0,1,,,,,,,,,,0
2025-06-13 13:45:00,3.0028,3.0281,3.0252,3.0068,578071.6,0,0,,,,,,,,,,0
2025-06-13 14:00:00,2.9912,3.0222,3.0069,2.9974,277354.9,0,0,,,,,,,,,,0
2025-06-13 14:15:00,2.9729,2.998,2.9977,2.979,375171.3,0,-1,,,,,,,,,,0
2025-06-13 14:30:00,2.9736,3.0093,2.9775,2.9994,158535.5,0,0,,,,,,,,,,0
2025-06-13 14:45:00,2.9868,3.018,3.0,3.0144,155530.3,0,0,,,,,,,,,,0
2025-06-13 15:00:00,3.002,3.0418,3.0151,3.0397,331489.1,0,0,,,,,,,,,,0
2025-06-13 15:15:00,3.0286,3.0584,3.0399,3.0495,500050.5,0,0,,,,,,,,,,0
2025-06-13 15:30:00,3.0399,3.056,3.0476,3.0523,216701.0,0,1,,,,,,,,,,0
2025-06-13 15:45:00,3.0296,3.0555,3.0525,3.0375,171910.7,0,-1,,,,,,,,,,0
2025-06-13 16:00:00,3.0288,3.072,3.0375,3.0707,294503.3,1,1,,,,,,,,,,1
2025-06-13 16:15:00,3.0593,3.0808,3.0708,3.0664,376218.9,0,0,,,,,,,,,,0
2025-06-13 16:30:00,3.0332,3.067,3.0664,3.0421,172394.4,0,-1,,,,,,,,,,0
2025-06-13 16:45:00,3.0231,3.0549,3.0414,3.0543,110884.7,0,1,,,,,,,,,,0
2025-06-13 17:00:00,3.0256,3.0539,3.0537,3.0295,204142.4,-1,0,,,,,,,,,,-1
2025-06-13 17:15:00,3.011,3.0337,3.0295,3.0111,162827.3,0,-1,,,,,,,,,,0
2025-06-13 17:30:00,3.0099,3.0303,3.0108,3.0196,106229.2,0,0,,,,,,,,,,0
2025-06-13 17:45:00,3.0004,3.0496,3.0195,3.0406,459283.0,0,1,,,,,,,,,,0
2025-06-13 18:00:00,3.0222,3.0529,3.0409,3.0223,372047.5,0,0,,,,,,,,,,0
2025-06-13 18:15:00,3.0118,3.03,3.022,3.0153,291591.4,0,0,,,,,,,,,,0
2025-06-13 18:30:00,2.992,3.0159,3.0148,3.0012,287434.2,0,-1,,,,,,,,,,0
2025-06-13 18:45:00,3.0,3.0233,3.0015,3.0174,193094.9,0,0,,,,,,,,,,0
2025-06-13 19:00:00,3.0039,3.0231,3.0159,3.0195,187859.8,0,1,,,,,,,,,,0
2025-06-13 19:15:00,3.006,3.0354,3.0204,3.0192,209862.8,0,0,,,,,,,,,,0
2025-06-13 19:30:00,3.0088,3.0279,3.0195,3.015,78629.0,0,-1,,,,,,,,,,0
2025-06-13 19:45:00,3.0068,3.0228,3.0159,3.0174,326021.2,0,0,,,,,,,,,,0
2025-06-13 20:00:00,3.0076,3.0327,3.0179,3.0306,161040.9,0,0,,,,,,,,,,0
2025-06-13 20:15:00,3.0166,3.0366,3.031,3.0327,68310.6,0,0,,,,,,,,,,0
2025-06-13 20:30:00,3.0269,3.0563,3.0325,3.0547,238198.6,1,1,,,,,,,,,,1
2025-06-13 20:45:00,3.0357,3.055,3.0548,3.0465,103286.1,0,0,,,,,,,,,,0
2025-06-13 21:00:00,3.041,3.0555,3.0468,3.0421,270393.0,0,-1,,,,,,,,,,0
2025-06-13 21:15:00,3.0351,3.0561,3.042,3.0561,215190.3,0,1,,,,,,,,,,0
2025-06-13 21:30:00,3.0478,3.0632,3.0564,3.056,140615.8,0,-1,,,,,,,,,,0
2025-06-13 21:45:00,3.0553,3.0717,3.0561,3.0624,87470.0,0,0,,,,,,,,,,0
2025-06-13 22:00:00,3.0582,3.0824,3.0627,3.0648,178392.3,0,1,,,,,,,,,,0
2025-06-13 22:15:00,3.0504,3.0692,3.0647,3.0548,78718.5,0,0,,,,,,,,,,0
2025-06-13 22:30:00,3.0443,3.0594,3.054,3.0471,62416.1,0,-1,,,,,,,,,,0
2025-06-13 22:45:00,3.0451,3.0617,3.0474,3.0548,38724.6,0,0,,,,,,,,,,0
2025-06-13 23:00:00,3.055,3.0705,3.055,3.0571,84049.0,0,0,,,,,,,,,,0
2025-06-13 23:15:00,3.057,3.0662,3.057,3.0626,75851.1,0,0,,,,,,,,,,0
2025-06-13 23:30:00,3.0591,3.0684,3.0623,3.0684,55242.2,0,0,,,,,,,,,,0
2025-06-13 23:45:00,3.064,3.0832,3.0687,3.0773,209317.8,0,1,,,,,,,,,,0
2025-06-14 00:00:00,3.0553,3.0783,3.0772,3.0566,179354.6,0,0,,,,,,,,,,0
2025-06-14 00:15:00,3.0491,3.0708,3.0566,3.054,409174.5,0,-1,,,,,,,,,,0
2025-06-14 00:30:00,3.048,3.0672,3.0543,3.0612,113667.2,0,1,,,,,,,,,,0
2025-06-14 00:45:00,3.0475,3.0711,3.0615,3.0532,75775.4,0,0,,,,,,,,,,0
2025-06-14 01:00:00,3.0272,3.0535,3.0532,3.0331,361152.8,0,-1,,,,,,,,,,0
2025-06-14 01:15:00,3.0308,3.0443,3.0331,3.0387,80050.3,0,1,,,,,,,,,,0
2025-06-14 01:30:00,3.0316,3.0446,3.0385,3.0383,62089.4,0,0,,,,,,,,,,0
2025-06-14 01:45:00,3.0256,3.0423,3.0381,3.0315,46962.1,0,-1,,,,,,,,,,0
2025-06-14 02:00:00,3.0277,3.0362,3.0321,3.0334,35279.8,0,1,,,,,,,,,,0
2025-06-14 02:15:00,3.0274,3.0426,3.0336,3.0296,76523.6,0,0,,,,,,,,,,0
2025-06-14 02:30:00,3.0204,3.0319,3.0288,3.024,116329.9,0,-1,3.024,,,,,,,,,0
2025-06-14 02:45:00,3.0237,3.0337,3.0238,3.032,12234.7,0,0,,,,,,,,,,0
2025-06-14 03:00:00,3.0291,3.0387,3.0321,3.033,61718.6,0,0,,,,,,,,,,0
2025-06-14 03:15:00,3.0255,3.0402,3.0336,3.0393,49862.6,0,1,,3.0393,,,,,,,,0
2025-06-14 03:30:00,3.0354,3.046,3.0387,3.0368,145802.2,0,0,,,,,,,,,,0
2025-06-14 03:45:00,3.0272,3.0392,3.0374,3.0321,77474.3,0,-1,,,3.0321,,,,,,,0
2025-06-14 04:00:00,3.0272,3.042,3.0321,3.0363,34647.4,0,0,,,,,,,,,,0
2025-06-14 04:15:00,3.0334,3.0495,3.0366,3.0495,71138.6,0,0,,,,,,,,,,0
2025-06-14 04:30:00,3.0471,3.0552,3.0472,3.0519,34079.2,0,1,,,,3.0519,,,,,,0
2025-06-14 04:45:00,3.0435,3.0544,3.0522,3.0507,45189.3,0,0,,,,,,,,,,0
2025-06-14 05:00:00,3.0414,3.0527,3.051,3.0414,28382.5,0,-1,,,,,3.0414,,,,,0
2025-06-14 05:15:00,3.0405,3.052,3.0413,3.0487,28223.3,0,0,,,,,,,,,,0
2025-06-14 05:30:00,3.0426,3.054,3.0483,3.054,31822.3,1,1,,,,,,3.054,,,,1
2025-06-14 05:45:00,3.0515,3.0588,3.0542,3.0532,33143.4,-1,0,,,,,,,,,,-1
2025-06-14 06:00:00,3.0463,3.0586,3.0537,3.0504,92712.8,0,0,,,,,,,,,,0
2025-06-14 06:15:00,3.0345,3.0519,3.0502,3.0364,86003.6,0,0,,,,,,,,,,0
2025-06-14 06:30:00,3.032,3.0396,3.0358,3.0361,24850.2,0,0,,,,,,,,,,0
2025-06-14 06:45:00,3.0289,3.0364,3.0359,3.0313,23842.7,0,0,,,,,,,,,,0
2025-06-14 07:00:00,3.0124,3.0315,3.0315,3.0142,112987.3,0,-1,,,,,,,3.0142,,,0
2025-06-14 07:15:00,3.0082,3.0233,3.0141,3.0231,59978.4,0,0,,,,,,,,,,0
2025-06-14 07:30:00,3.0219,3.0314,3.0225,3.0309,79885.3,0,1,,,,,,,,3.0309,,0
2025-06-14 07:45:00,3.0273,3.0336,3.0306,3.0285,23045.3,0,0,,,,,,,,,,0
2025-06-14 08:00:00,3.0071,3.0291,3.0282,3.008,58750.8,0,-1,,,,,,,,,3.008,0
2025-06-14 08:15:00,3.007,3.0225,3.0072,3.0202,254530.6,0,0,,,,,,,,,,0
2025-06-14 08:30:00,3.01,3.0259,3.0207,3.0234,57887.2,0,0,,,,,,,,,,0
2025-06-14 08:45:00,3.0214,3.028,3.0231,3.0255,15375.8,0,1,,,,,,,,,,0
2025-06-14 09:00:00,3.0196,3.0264,3.0261,3.0247,20238.8,0,0,,,,,,,,,,0
2025-06-14 09:15:00,3.0139,3.029,3.0249,3.0153,14589.9,0,-1,,,,,,,,,,0
