start,low,high,open,close,volume,MA,STD,Z_Score,zscoremeanreversion_signal,signal
2025-06-14 15:00:00,2.907,2.9909,2.9846,2.9264,1652979.9,3.0279350000000003,0.03271587856876146,-3.1035388454140485,1,1
2025-06-14 16:00:00,2.8281,2.939,2.9265,2.8386,4197717.8,3.01754,0.05315231737285647,-3.366551240743832,1,1
2025-06-14 17:00:00,2.8331,2.8919,2.8391,2.863,1585005.8,3.00757,0.06222217492687913,-2.3234481946330616,1,1
2025-06-14 18:00:00,2.8057,2.8874,2.8634,2.8422,2816684.2,2.99694,0.07123608192777439,-2.1722137968914312,1,1
2025-06-14 19:00:00,2.8307,2.9061,2.8424,2.874,1676780.8,2.986775,0.07363029178551823,-1.5316386403643303,1,1
2025-06-14 20:00:00,2.8523,2.8955,2.8748,2.8878,450016.6,2.9785049999999997,0.07505187311382855,-1.2085641068868556,0,0
2025-06-14 21:00:00,2.8846,2.93,2.888,2.9196,511471.2,2.9729099999999997,0.07506423144284324,-0.7101917780986275,0,0
2025-06-14 22:00:00,2.9163,2.9387,2.9199,2.9343,493625.3,2.968025,0.07419035882178172,-0.45457388986368674,0,0
2025-06-14 23:00:00,2.9271,2.9546,2.9347,2.9475,430625.1,2.963795,0.07274244019320918,-0.22400953221695197,0,0
2025-06-15 00:00:00,2.9446,2.9721,2.9478,2.9702,355576.6,2.95977,0.06985033699952219,0.14931925095897147,0,0
2025-06-15 01:00:00,2.9577,2.9797,2.97,2.9637,448528.6,2.955295,0.06632777044027932,0.12671916972646516,0,0
2025-06-15 02:00:00,2.9637,2.99,2.964,2.9895,256007.6,2.9532049999999996,0.06443844451550947,0.5632507158248473,0,0
2025-06-15 03:00:00,2.9751,2.9948,2.9891,2.9812,547453.9,2.9508400000000004,0.06236415468418637,0.4868181113612987,0,0
2025-06-15 04:00:00,2.979,3.0156,2.9805,3.0112,782535.4,2.9501250000000003,0.06153965666222638,0.9924494758757433,0,0
2025-06-15 05:00:00,2.9859,3.0354,3.0111,3.0272,944873.8,2.95096,0.06250765342613293,1.2196906430041448,0,0
2025-06-15 06:00:00,3.0039,3.0371,3.0276,3.006,1049290.3,2.9502099999999998,0.06170791896634772,0.904097900796573,0,0
2025-06-15 07:00:00,2.984,3.0095,3.0057,2.9946,548126.3,2.9485,0.05986171784335409,0.7701082037210213,0,0
2025-06-15 08:00:00,2.9758,2.9975,2.994,2.9834,205393.7,2.9471,0.05862794375955143,0.6191586754070045,0,0
2025-06-15 09:00:00,2.9514,2.9832,2.9832,2.9631,245899.2,2.9453750000000003,0.057561736879901564,0.30793024951594994,0,0
2025-06-15 10:00:00,2.9634,2.9898,2.9634,2.987,220949.4,2.945525,0.057671491406517936,0.7191594839753479,0,0
2025-06-15 11:00:00,2.9526,2.9897,2.9867,2.9626,246762.8,2.947335,0.057607695712140736,0.26498195790155915,0,0
2025-06-15 12:00:00,2.9523,2.9839,2.9622,2.9763,399260.3,2.9542200000000003,0.05187124342770549,0.42566937942741695,0,0
2025-06-15 13:00:00,2.957,2.9861,2.9754,2.9777,463785,2.959955,0.047403258548881055,0.3743413542278306,0,0
2025-06-15 14:00:00,2.9522,3.0171,2.9776,3.0105,727186,2.9683699999999997,0.03971385943947495,1.0608387246826902,0,0
2025-06-15 15:00:00,2.9958,3.0317,3.0114,3.009,1474878.2,2.97512,0.033873193872992126,1.0002009295915024,0,0
2025-06-15 16:00:00,2.9917,3.018,3.0093,3.0135,426015.8,2.981405,0.027964911755145733,1.1476882273406168,0,0
2025-06-15 17:00:00,2.9955,3.0279,3.0123,3.0175,284163.9,2.9863,0.02498679651334668,1.2486594663439412,0,0
2025-06-15 18:00:00,2.9953,3.031,3.0171,3.0303,328820.7,2.9911000000000003,0.0236572677160499,1.6569960855371755,-1,-1
2025-06-15 19:00:00,3.0045,3.0435,3.0298,3.0195,431860.7,2.9947,0.02210032150276755,1.1221556209892383,0,0
2025-06-15 20:00:00,2.97,3.0206,3.0198,2.9859,787692,2.995485,0.02145365322833103,-0.44677705461102074,0,0
2025-06-15 21:00:00,2.963,3.002,2.9846,3.0001,454082.9,2.997305,0.020117666365644136,0.13893261520498595,0,0
2025-06-15 22:00:00,2.9937,3.04,3.0,3.0246,606328.5,2.99906,0.020916108121415287,1.221068463202787,0,0
2025-06-15 23:00:00,3.0165,3.0351,3.0249,3.0235,344815.8,3.001175,0.021152401257226807,1.055435727060657,0,0
2025-06-16 00:00:00,2.985,3.0267,3.0246,3.0015,495805,3.0006899999999996,0.021021239885295827,0.03853245595503667,0,0
2025-06-16 01:00:00,2.9729,3.0479,3.0015,3.0461,884012.2,3.001635,0.022638329745888284,1.964146670673715,-1,-1
2025-06-16 02:00:00,3.0469,3.0882,3.0471,3.0714,923424.9,3.004905,0.02750275536434361,2.417757752599898,-1,-1
2025-06-16 03:00:00,3.0605,3.0825,3.0717,3.0678,471750,3.008565,0.030739401682349274,1.9270056265933504,-1,-1
2025-06-16 04:00:00,3.0572,3.0948,3.0686,3.0674,612703.5,3.0127650000000004,0.032790230814092165,1.6661974814925498,-1,-1
2025-06-16 05:00:00,3.05,3.0987,3.0675,3.0782,542963.7,3.0185199999999996,0.03370265646252376,1.770780296394807,-1,-1
2025-06-16 06:00:00,3.0723,3.1035,3.0789,3.0891,384696.1,3.023625,0.03630884878372355,1.8032794261808478,-1,-1
2025-06-16 07:00:00,3.0899,3.1408,3.0902,3.14,610433,3.032495,0.04186058911496484,2.5681673925981126,-1,-1
2025-06-16 08:00:00,3.1083,3.1421,3.14,3.1205,420882.2,3.039705,0.0440341909620635,1.8348242180628807,-1,-1
2025-06-16 09:00:00,3.0968,3.1235,3.1188,3.1022,554387.6,3.04593,0.043605396817116567,1.290436599763087,0,0
